                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 2.1866,                 2.8861,                 1.5622,                0.15696,                0.12237,                0.07312,                0.03051,                 2.4071,                 3.3278,                 1.7636,              0.0002179,              0.0002179,              0.0002179
                     81,                 2.1818,                 2.8773,                 1.5566,                0.15581,                0.12257,                0.07405,                0.03079,                 2.4074,                 3.3255,                 1.7625,               0.000208,               0.000208,               0.000208
                     82,                 2.1817,                 2.8723,                 1.5562,                0.15393,                0.12299,                 0.0738,                0.03097,                 2.4078,                 3.3231,                 1.7617,              0.0001981,              0.0001981,              0.0001981
                     83,                 2.1749,                   2.86,                 1.5495,                0.15303,                 0.1256,                0.07442,                0.03133,                 2.4086,                   3.32,                 1.7612,              0.0001882,              0.0001882,              0.0001882
                     84,                  2.173,                 2.8504,                 1.5575,                0.15252,                0.12609,                0.07497,                0.03151,                 2.4091,                 3.3186,                 1.7609,              0.0001783,              0.0001783,              0.0001783
                     85,                   2.17,                 2.8386,                 1.5482,                0.14903,                0.12701,                0.07497,                 0.0316,                 2.4099,                  3.318,                 1.7607,              0.0001684,              0.0001684,              0.0001684
                     86,                 2.1685,                 2.8345,                 1.5482,                0.14908,                 0.1289,                  0.075,                0.03151,                 2.4108,                 3.3164,                 1.7604,              0.0001585,              0.0001585,              0.0001585
                     87,                 2.1606,                 2.8331,                 1.5463,                 0.1534,                0.12763,                0.07534,                0.03167,                 2.4114,                 3.3155,                 1.7603,              0.0001486,              0.0001486,              0.0001486
                     88,                 2.1635,                 2.8274,                 1.5462,                0.15591,                0.12914,                0.07536,                0.03175,                 2.4125,                 3.3144,                 1.7599,              0.0001387,              0.0001387,              0.0001387
                     89,                 2.1555,                 2.8176,                   1.54,                0.15387,                  0.131,                0.07548,                 0.0317,                 2.4138,                 3.3131,                 1.7598,              0.0001288,              0.0001288,              0.0001288
                     90,                 2.1527,                 2.8073,                 1.5401,                0.15406,                0.13243,                0.07561,                0.03183,                 2.4152,                 3.3115,                 1.7601,              0.0001189,              0.0001189,              0.0001189
                     91,                 2.1496,                 2.8006,                 1.5344,                 0.1559,                0.13365,                0.07674,                0.03224,                 2.4156,                 3.3115,                   1.76,               0.000109,               0.000109,               0.000109
                     92,                 2.1421,                 2.8002,                 1.5348,                0.15575,                0.13273,                0.07693,                 0.0323,                 2.4159,                 3.3101,                 1.7592,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                 2.1448,                 2.7884,                 1.5333,                0.15569,                0.13376,                0.07723,                0.03243,                 2.4169,                 3.3083,                 1.7591,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                  2.137,                 2.7734,                 1.5311,                0.15346,                0.13375,                0.07755,                0.03258,                 2.4178,                 3.3068,                 1.7586,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                 2.1378,                 2.7723,                 1.5302,                0.15888,                0.13397,                0.07767,                0.03261,                 2.4184,                 3.3056,                 1.7583,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                 2.1374,                 2.7604,                 1.5251,                0.16156,                0.13564,                0.07847,                 0.0328,                 2.4194,                 3.3045,                  1.759,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                  2.131,                 2.7574,                 1.5234,                0.16147,                0.13512,                0.07859,                0.03283,                 2.4201,                 3.3046,                 1.7592,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                 2.1244,                 2.7499,                 1.5215,                0.15665,                0.13727,                0.07871,                0.03272,                 2.4209,                 3.3043,                 1.7594,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                 2.1272,                 2.7581,                 1.5226,                0.15593,                 0.1361,                0.07885,                0.03286,                 2.4212,                 3.3035,                 1.7595,               2.98e-05,               2.98e-05,               2.98e-05
